[gcp-benchmark] 0/8 terminal, 0 finished, 0 failed, 0 running, 8 startup, 0 unknown, 0 unreachable (22:20:03 UTC)
[gcp-benchmark] 0/8 terminal, 0 finished, 0 failed, 8 running, 0 startup, 0 unknown, 0 unreachable (22:22:42 UTC)
[gcp-benchmark] 0/8 terminal, 0 finished, 0 failed, 8 running, 0 startup, 0 unknown, 0 unreachable (22:25:17 UTC)
[gcp-benchmark] 0/8 terminal, 0 finished, 0 failed, 8 running, 0 startup, 0 unknown, 0 unreachable (22:27:48 UTC)
[gcp-benchmark] 0/8 terminal, 0 finished, 0 failed, 8 running, 0 startup, 0 unknown, 0 unreachable (22:30:21 UTC)
[gcp-benchmark] 0/8 terminal, 0 finished, 0 failed, 8 running, 0 startup, 0 unknown, 0 unreachable (22:32:51 UTC)
[gcp-benchmark] 0/8 terminal, 0 finished, 0 failed, 8 running, 0 startup, 0 unknown, 0 unreachable (22:35:19 UTC)
[gcp-benchmark] 0/8 terminal, 0 finished, 0 failed, 8 running, 0 startup, 0 unknown, 0 unreachable (22:37:51 UTC)
[gcp-benchmark] 0/8 terminal, 0 finished, 0 failed, 8 running, 0 startup, 0 unknown, 0 unreachable (22:40:23 UTC)
[gcp-benchmark] 0/8 terminal, 0 finished, 0 failed, 8 running, 0 startup, 0 unknown, 0 unreachable (22:42:56 UTC)
[gcp-benchmark] 0/8 terminal, 0 finished, 0 failed, 8 running, 0 startup, 0 unknown, 0 unreachable (22:45:26 UTC)
[gcp-benchmark] 0/8 terminal, 0 finished, 0 failed, 8 running, 0 startup, 0 unknown, 0 unreachable (22:47:57 UTC)
[gcp-benchmark] 0/8 terminal, 0 finished, 0 failed, 8 running, 0 startup, 0 unknown, 0 unreachable (22:50:31 UTC)
[gcp-benchmark] 0/8 terminal, 0 finished, 0 failed, 8 running, 0 startup, 0 unknown, 0 unreachable (22:53:05 UTC)
[gcp-benchmark] 0/8 terminal, 0 finished, 0 failed, 8 running, 0 startup, 0 unknown, 0 unreachable (22:55:38 UTC)
[gcp-benchmark] 0/8 terminal, 0 finished, 0 failed, 8 running, 0 startup, 0 unknown, 0 unreachable (22:58:10 UTC)
[gcp-benchmark] 0/8 terminal, 0 finished, 0 failed, 8 running, 0 startup, 0 unknown, 0 unreachable (23:00:41 UTC)
[gcp-benchmark] 0/8 terminal, 0 finished, 0 failed, 8 running, 0 startup, 0 unknown, 0 unreachable (23:03:12 UTC)
[gcp-benchmark] 0/8 terminal, 0 finished, 0 failed, 8 running, 0 startup, 0 unknown, 0 unreachable (23:05:50 UTC)
[gcp-benchmark] 0/8 terminal, 0 finished, 0 failed, 8 running, 0 startup, 0 unknown, 0 unreachable (23:08:21 UTC)
[gcp-benchmark] 0/8 terminal, 0 finished, 0 failed, 8 running, 0 startup, 0 unknown, 0 unreachable (23:10:51 UTC)
[gcp-benchmark] 0/8 terminal, 0 finished, 0 failed, 8 running, 0 startup, 0 unknown, 0 unreachable (23:13:21 UTC)
[gcp-benchmark] 0/8 terminal, 0 finished, 0 failed, 8 running, 0 startup, 0 unknown, 0 unreachable (23:15:52 UTC)
[gcp-benchmark] 0/8 terminal, 0 finished, 0 failed, 8 running, 0 startup, 0 unknown, 0 unreachable (23:18:22 UTC)
[gcp-benchmark] 0/8 terminal, 0 finished, 0 failed, 8 running, 0 startup, 0 unknown, 0 unreachable (23:20:52 UTC)
[gcp-benchmark] 0/8 terminal, 0 finished, 0 failed, 8 running, 0 startup, 0 unknown, 0 unreachable (23:23:23 UTC)
[gcp-benchmark] 0/8 terminal, 0 finished, 0 failed, 8 running, 0 startup, 0 unknown, 0 unreachable (23:25:57 UTC)
[gcp-benchmark] 0/8 terminal, 0 finished, 0 failed, 8 running, 0 startup, 0 unknown, 0 unreachable (23:28:34 UTC)
[gcp-benchmark] 0/8 terminal, 0 finished, 0 failed, 8 running, 0 startup, 0 unknown, 0 unreachable (23:31:05 UTC)
[gcp-benchmark] 1/8 terminal, 1 finished, 0 failed, 7 running, 0 startup, 0 unknown, 0 unreachable (23:33:38 UTC)
[gcp-benchmark] 1/8 terminal, 1 finished, 0 failed, 7 running, 0 startup, 0 unknown, 0 unreachable (23:36:11 UTC)
[gcp-benchmark] 1/8 terminal, 1 finished, 0 failed, 7 running, 0 startup, 0 unknown, 0 unreachable (23:38:44 UTC)
[gcp-benchmark] 1/8 terminal, 1 finished, 0 failed, 7 running, 0 startup, 0 unknown, 0 unreachable (23:41:16 UTC)
[gcp-benchmark] 1/8 terminal, 1 finished, 0 failed, 7 running, 0 startup, 0 unknown, 0 unreachable (23:43:48 UTC)
[gcp-benchmark] 0/8 terminal, 0 finished, 0 failed, 6 running, 0 startup, 0 unknown, 2 unreachable (00:31:41 UTC)
